function,eta,alpha,alpha_pull,num_workers,beta,num_epochs,final_loss,best_loss,converged,elapsed_s
rosenbrock,0.001,0.4,0.6,4,5.5,10000,0.0206989,0.0206989,0,0.199
rosenbrock,0.001,0.4,0.8,4,5.5,10000,0.04239978,0.04239978,0,0.193
rosenbrock,0.001,0.4,1.0,4,5.5,10000,0.07602209,0.07602209,0,0.211
rosenbrock,0.001,0.6,0.0,4,5.5,10000,0.00014351,0.00014351,1,0.209
rosenbrock,0.001,0.6,0.2,4,5.5,10000,0.00123622,0.00123622,0,0.193
rosenbrock,0.001,0.6,0.4,4,5.5,10000,0.00325814,0.00325814,0,0.201
rosenbrock,0.001,0.6,0.6,4,5.5,10000,0.00819806,0.00819806,0,0.193
rosenbrock,0.001,0.6,0.8,4,5.5,10000,0.01502189,0.01502189,0,0.212
rosenbrock,0.001,0.6,1.0,4,5.5,10000,0.0261285,0.0261285,0,0.199
rosenbrock,0.001,0.8,0.0,4,5.5,10000,0.00014105,0.00014105,1,0.193
rosenbrock,0.001,0.8,0.2,4,5.5,10000,0.00073487,0.00073487,1,0.217
rosenbrock,0.001,0.8,0.4,4,5.5,10000,0.01873469,0.00328407,0,0.197
rosenbrock,0.001,0.8,0.6,4,5.5,10000,0.00413796,0.00413796,0,0.216
rosenbrock,0.001,0.8,0.8,4,5.5,10000,0.00808891,0.00808891,0,0.2
rosenbrock,0.001,0.8,1.0,4,5.5,10000,0.01266873,0.01266873,0,0.188
rosenbrock,0.001,1.0,0.0,4,5.5,10000,0.0001396,0.0001396,1,0.205
rosenbrock,0.001,1.0,0.2,4,5.5,10000,0.00056031,0.00056031,1,0.196
rosenbrock,0.001,1.0,0.4,4,5.5,10000,0.0027844,0.0027844,0,0.214
rosenbrock,0.001,1.0,0.6,4,5.5,10000,0.0025395,0.0025395,0,0.211
rosenbrock,0.001,1.0,0.8,4,5.5,10000,0.00472777,0.00472777,0,0.201
rosenbrock,0.001,1.0,1.0,4,5.5,10000,0.03731455,0.01270735,0,0.217
rosenbrock,0.001,0.0,0.0,4,6.75,10000,409.0,409.0,0,0.212
rosenbrock,0.001,0.0,0.2,4,6.75,10000,409.0,409.0,0,0.199
rosenbrock,0.001,0.0,0.4,4,6.75,10000,409.0,409.0,0,0.2
rosenbrock,0.001,0.0,0.6,4,6.75,10000,409.0,409.0,0,0.204
rosenbrock,0.001,0.0,0.8,4,6.75,10000,409.0,409.0,0,0.207
rosenbrock,0.001,0.0,1.0,4,6.75,10000,409.0,409.0,0,0.201
rosenbrock,0.001,0.2,0.0,4,6.75,10000,0.0001658,0.0001658,1,0.201
rosenbrock,0.001,0.2,0.2,4,6.75,10000,0.00907705,0.00907705,0,0.195
rosenbrock,0.001,0.2,0.4,4,6.75,10000,0.0453518,0.0453518,0,0.205
rosenbrock,0.001,0.2,0.6,4,6.75,10000,0.13081075,0.13081075,0,0.226
rosenbrock,0.001,0.2,0.8,4,6.75,10000,0.32249823,0.32249823,0,0.213
rosenbrock,0.001,0.2,1.0,4,6.75,10000,0.85798204,0.85798204,0,0.211
rosenbrock,0.001,0.4,0.0,4,6.75,10000,0.00014863,0.00014863,1,0.229
rosenbrock,0.001,0.4,0.2,4,6.75,10000,0.01795201,0.00311551,0,0.192
rosenbrock,0.001,0.4,0.4,4,6.75,10000,0.00835569,0.00835569,0,0.204
rosenbrock,0.001,0.4,0.6,4,6.75,10000,0.0206945,0.0206945,0,0.214
rosenbrock,0.001,0.4,0.8,4,6.75,10000,0.04238961,0.04238961,0,0.201
rosenbrock,0.001,0.4,1.0,4,6.75,10000,0.07599763,0.07599763,0,0.209
rosenbrock,0.001,0.6,0.0,4,6.75,10000,0.0001435,0.0001435,1,0.201
rosenbrock,0.001,0.6,0.2,4,6.75,10000,0.00121667,0.00121667,0,0.205
rosenbrock,0.001,0.6,0.4,4,6.75,10000,0.00324971,0.00324971,0,0.199
rosenbrock,0.001,0.6,0.6,4,6.75,10000,0.00817257,0.00817257,0,0.216
rosenbrock,0.001,0.6,0.8,4,6.75,10000,0.01501678,0.01501678,0,0.205
rosenbrock,0.001,0.6,1.0,4,6.75,10000,0.02611766,0.02611766,0,0.206
rosenbrock,0.001,0.8,0.0,4,6.75,10000,0.00014104,0.00014104,1,0.216
rosenbrock,0.001,0.8,0.2,4,6.75,10000,0.00073115,0.00073115,1,0.196
rosenbrock,0.001,0.8,0.4,4,6.75,10000,0.01543137,0.00319721,0,0.217
rosenbrock,0.001,0.8,0.6,4,6.75,10000,0.00412581,0.00412581,0,0.203
rosenbrock,0.001,0.8,0.8,4,6.75,10000,0.00807591,0.00807591,0,0.202
rosenbrock,0.001,0.8,1.0,4,6.75,10000,0.01266376,0.01266376,0,0.205
rosenbrock,0.001,1.0,0.0,4,6.75,10000,0.00013959,0.00013959,1,0.199
rosenbrock,0.001,1.0,0.2,4,6.75,10000,0.00055727,0.00055727,1,0.268
rosenbrock,0.001,1.0,0.4,4,6.75,10000,0.00261359,0.00261359,0,0.217
rosenbrock,0.001,1.0,0.6,4,6.75,10000,0.00253294,0.00253294,0,0.201
rosenbrock,0.001,1.0,0.8,4,6.75,10000,0.00471488,0.00471488,0,0.213
rosenbrock,0.001,1.0,1.0,4,6.75,10000,0.01628326,0.01628326,0,0.198
rosenbrock,0.001,0.0,0.0,4,8.0,10000,409.0,409.0,0,0.217
rosenbrock,0.001,0.0,0.2,4,8.0,10000,409.0,409.0,0,0.205
rosenbrock,0.001,0.0,0.4,4,8.0,10000,409.0,409.0,0,0.205
rosenbrock,0.001,0.0,0.6,4,8.0,10000,409.0,409.0,0,0.198
rosenbrock,0.001,0.0,0.8,4,8.0,10000,409.0,409.0,0,0.201
rosenbrock,0.001,0.0,1.0,4,8.0,10000,409.0,409.0,0,0.202
rosenbrock,0.001,0.2,0.0,4,8.0,10000,0.00016579,0.00016579,1,0.199
rosenbrock,0.001,0.2,0.2,4,8.0,10000,0.00905753,0.00905753,0,0.207
rosenbrock,0.001,0.2,0.4,4,8.0,10000,0.04535013,0.04535013,0,0.224
rosenbrock,0.001,0.2,0.6,4,8.0,10000,0.13076693,0.13076693,0,0.246
rosenbrock,0.001,0.2,0.8,4,8.0,10000,0.32226973,0.32226973,0,0.206
rosenbrock,0.001,0.2,1.0,4,8.0,10000,0.85871993,0.85871993,0,0.202
rosenbrock,0.001,0.4,0.0,4,8.0,10000,0.00014863,0.00014863,1,0.198
rosenbrock,0.001,0.4,0.2,4,8.0,10000,0.01420799,0.0029192,0,0.204
rosenbrock,0.001,0.4,0.4,4,8.0,10000,0.00833625,0.00833625,0,0.199
rosenbrock,0.001,0.4,0.6,4,8.0,10000,0.02068855,0.02068855,0,0.203
rosenbrock,0.001,0.4,0.8,4,8.0,10000,0.0423747,0.0423747,0,0.21
rosenbrock,0.001,0.4,1.0,4,8.0,10000,0.07596319,0.07596319,0,0.205
rosenbrock,0.001,0.6,0.0,4,8.0,10000,0.0001435,0.0001435,1,0.205
rosenbrock,0.001,0.6,0.2,4,8.0,10000,0.0012192,0.0012192,0,0.201
rosenbrock,0.001,0.6,0.4,4,8.0,10000,0.00324189,0.00324189,0,0.219
rosenbrock,0.001,0.6,0.6,4,8.0,10000,0.00814683,0.00814683,0,0.194
rosenbrock,0.001,0.6,0.8,4,8.0,10000,0.01501096,0.01501096,0,0.227
rosenbrock,0.001,0.6,1.0,4,8.0,10000,0.0261062,0.0261062,0,0.205
rosenbrock,0.001,0.8,0.0,4,8.0,10000,0.00014104,0.00014104,1,0.198
rosenbrock,0.001,0.8,0.2,4,8.0,10000,0.00072813,0.00072813,1,0.215
rosenbrock,0.001,0.8,0.4,4,8.0,10000,0.01400666,0.0029265,0,0.191
rosenbrock,0.001,0.8,0.6,4,8.0,10000,0.00411644,0.00411644,0,0.199
rosenbrock,0.001,0.8,0.8,4,8.0,10000,0.00804403,0.00804403,0,0.211
rosenbrock,0.001,0.8,1.0,4,8.0,10000,0.01265864,0.01265864,0,0.21
rosenbrock,0.001,1.0,0.0,4,8.0,10000,0.00013959,0.00013959,1,0.208
rosenbrock,0.001,1.0,0.2,4,8.0,10000,0.0005545,0.0005545,1,0.199
rosenbrock,0.001,1.0,0.4,4,8.0,10000,0.00268236,0.00268236,0,0.214
rosenbrock,0.001,1.0,0.6,4,8.0,10000,0.00252742,0.00252742,0,0.205
rosenbrock,0.001,1.0,0.8,4,8.0,10000,0.00470398,0.00470398,0,0.211
rosenbrock,0.001,1.0,1.0,4,8.0,10000,0.02057026,0.01378458,0,0.191
rastrigin,0.001,0.0,0.0,4,3.0,10000,18.0,18.0,0,0.158
rastrigin,0.001,0.0,0.2,4,3.0,10000,18.0,18.0,0,0.176
rastrigin,0.001,0.0,0.4,4,3.0,10000,18.0,18.0,0,0.165
rastrigin,0.001,0.0,0.6,4,3.0,10000,18.0,18.0,0,0.168
rastrigin,0.001,0.0,0.8,4,3.0,10000,18.0,18.0,0,0.2
rastrigin,0.001,0.0,1.0,4,3.0,10000,18.0,18.0,0,0.166
rastrigin,0.001,0.2,0.0,4,3.0,10000,17.90920248,17.90920248,0,0.167
rastrigin,0.001,0.2,0.2,4,3.0,10000,17.90920248,17.90920248,0,0.157
rastrigin,0.001,0.2,0.4,4,3.0,10000,17.90920248,17.90920248,0,0.17
rastrigin,0.001,0.2,0.6,4,3.0,10000,17.90920248,17.90920248,0,0.168
rastrigin,0.001,0.2,0.8,4,3.0,10000,17.90920248,17.90920248,0,0.159
rastrigin,0.001,0.2,1.0,4,3.0,10000,17.90920248,17.90920248,0,0.177
rastrigin,0.001,0.4,0.0,4,3.0,10000,17.90920248,17.90920248,0,0.167
rastrigin,0.001,0.4,0.2,4,3.0,10000,17.90920248,17.90920248,0,0.164
rastrigin,0.001,0.4,0.4,4,3.0,10000,17.90920248,17.90920248,0,0.19
