num_workers,eta,beta,alpha,alpha_pull,loss
1,0.05,5.0,0.1,0.55,nan
1,0.05,5.0,0.1,0.775,nan
1,0.05,5.0,0.1,1.0,nan
1,0.05,5.0,0.325,0.1,nan
1,0.05,5.0,0.325,0.325,nan
1,0.05,5.0,0.325,0.55,nan
1,0.05,5.0,0.325,0.775,nan
1,0.05,5.0,0.325,1.0,nan
1,0.05,5.0,0.55,0.1,nan
1,0.05,5.0,0.55,0.325,nan
1,0.05,5.0,0.55,0.55,nan
1,0.05,5.0,0.55,0.775,nan
1,0.05,5.0,0.55,1.0,nan
1,0.05,5.0,0.775,0.1,nan
1,0.05,5.0,0.775,0.325,nan
1,0.05,5.0,0.775,0.55,nan
1,0.05,5.0,0.775,0.775,nan
1,0.05,5.0,0.775,1.0,nan
1,0.05,5.0,1.0,0.1,nan
1,0.05,5.0,1.0,0.325,nan
1,0.05,5.0,1.0,0.55,nan
1,0.05,5.0,1.0,0.775,nan
1,0.05,5.0,1.0,1.0,nan
2,0.0005,0.5,0.1,0.1,31.003848441564983
2,0.0005,0.5,0.1,0.325,4.346007668043841
2,0.0005,0.5,0.1,0.55,4.454716368236186
2,0.0005,0.5,0.1,0.775,4.558774945571534
2,0.0005,0.5,0.1,1.0,4.695312669848162
2,0.0005,0.5,0.325,0.1,6.369998010875634
2,0.0005,0.5,0.325,0.325,3.5798629713382133
2,0.0005,0.5,0.325,0.55,3.5924349963951547
2,0.0005,0.5,0.325,0.775,3.7168315934125604
2,0.0005,0.5,0.325,1.0,3.816642478140817
2,0.0005,0.5,0.55,0.1,4.114603105165471
2,0.0005,0.5,0.55,0.325,3.8805805329832985
2,0.0005,0.5,0.55,0.55,3.5179120485208646
2,0.0005,0.5,0.55,0.775,3.520223970540366
2,0.0005,0.5,0.55,1.0,3.598175122227444
2,0.0005,0.5,0.775,0.1,3.53096581199293
2,0.0005,0.5,0.775,0.325,4.230802144196627
2,0.0005,0.5,0.775,0.55,3.6961054196754564
2,0.0005,0.5,0.775,0.775,3.5128425371651586
2,0.0005,0.5,0.775,1.0,12.320461232629642
2,0.0005,0.5,1.0,0.1,3.2855289033886788
2,0.0005,0.5,1.0,0.325,4.452111455227268
2,0.0005,0.5,1.0,0.55,3.9650694298136253
2,0.0005,0.5,1.0,0.775,11.910321534296617
2,0.0005,0.5,1.0,1.0,3.2964149943498984
2,0.0005,1.0,0.1,0.1,4.6279248857962605
2,0.0005,1.0,0.1,0.325,3.566595256194771
2,0.0005,1.0,0.1,0.55,3.873752914016711
2,0.0005,1.0,0.1,0.775,4.055895225313545
2,0.0005,1.0,0.1,1.0,4.226531806673599
2,0.0005,1.0,0.325,0.1,5.038595851393376
2,0.0005,1.0,0.325,0.325,2.0726380609598465
2,0.0005,1.0,0.325,0.55,2.7082557916259313
2,0.0005,1.0,0.325,0.775,3.0501637125651384
2,0.0005,1.0,0.325,1.0,3.2643543552171117
2,0.0005,1.0,0.55,0.1,3.6162595958925565
2,0.0005,1.0,0.55,0.325,1.3482590554629803
2,0.0005,1.0,0.55,0.55,2.0174706246717826
2,0.0005,1.0,0.55,0.775,2.467693246699992
2,0.0005,1.0,0.55,1.0,2.760966792239123
2,0.0005,1.0,0.775,0.1,3.214919212066323
2,0.0005,1.0,0.775,0.325,1.0895045720264132
2,0.0005,1.0,0.775,0.55,1.525415559964045
2,0.0005,1.0,0.775,0.775,1.9963640171417159
2,0.0005,1.0,0.775,1.0,0.1035828674864263
2,0.0005,1.0,1.0,0.1,3.053233745926012
2,0.0005,1.0,1.0,0.325,1.0354167228098292
